TenNCC,SoDienThoai
Công ty TNHH Dược phẩm An Khang,0901234567
Công ty CP Dược Hậu Giang,0912345678
Công ty TNHH Thảo Dược Xanh,0923456789
Công ty TNHH Dược An Tâm,0934567890
Công ty CP Thiên Long Pharma,0945678901
Công ty TNHH Dược phẩm Minh Tâm,0956789012
Công ty TNHH Y Dược Phúc Lộc,0967890123
Công ty CP Dược An Bình,0978901234
Công ty TNHH Dược Sài Gòn,0989012345
Công ty TNHH Dược Thái Dương,0990123456
Công ty TNHH Thiết bị Y tế Việt,0888123456
Công ty TNHH Dược Thịnh Vượng,0899123456
Công ty CP Dược phẩm Hòa Bình,0911222333
Công ty TNHH Dược Hồng Đức,0922333444
Công ty TNHH Dược phẩm Ngọc Ánh,0933444555
Công ty CP Dược phẩm Tâm Đức,0944555666
Công ty TNHH Dược Tân Phát,0955666777
Công ty TNHH Dược An Lành,0966777888
Công ty CP Dược phẩm Phú Thọ,0977888999
Công ty TNHH Dược phẩm Nhật Hưng,0988999000
Công ty TNHH Dược Bảo Minh,0999000111
Công ty CP Dược Ánh Dương,0900111222
Công ty TNHH Dược Trường Thọ,0911222334
Công ty TNHH Dược Long An,0922333445
Công ty CP Dược Trà My,0933444556
Công ty TNHH Dược Kim Ngân,0944555667
Công ty TNHH Dược Hoàng Mai,0955666778
Công ty TNHH Dược Thiên Phú,0966777889
Công ty TNHH Dược Hoài An,0977888990
Công ty CP Dược phẩm Thanh Bình,0988999001
