MaLoai,MaHangSX,MaNCC,TenThuoc,CongDung,DonGia,SoLuongTonKho,HanSuDung
a400e820-ba4f-443d-b0ea-a845a0d153be,cbbd98f2-d9ad-40e1-9b03-70d7304bbcd8,da9ca03f-91c3-4fd7-84d8-79778c61ed22,Paracetamol,"Giảm đau, hạ sốt",386513.46,804,2027-11-18
53956b6f-a63f-41bb-968a-7c2d39c266f5,f2a9a8f4-0120-4b34-95cd-0e452e506361,7129ddda-27a9-4eaf-b58f-209d7ef59a15,Amoxicillin,Kháng sinh phổ rộng,311198.96,933,2026-09-14
a400e820-ba4f-443d-b0ea-a845a0d153be,ebe33327-9979-41b3-8cf5-4fad187f5462,71564964-5fac-4ff9-bfae-c7ca785408fd,Vitamin C,Tăng sức đề kháng,495411.84,237,2026-09-26
962cfcb1-680e-4c70-8877-e5364f60c499,94678b44-f3f1-4f1d-aafe-2df7211a7ccd,168df904-6ced-43bc-b8c3-a50a53a6016c,Ibuprofen,"Chống viêm, giảm đau",224131.35,444,2027-03-08
1b0a1421-73b1-44a9-83db-7b94f06355ca,b70eb6a5-667c-46c1-bf4f-6b4a142f920d,0e71f6fc-b45f-4433-853b-b6ddeab69b6c,Clorpheniramin,Chống dị ứng,419908.20,446,2026-04-12
e61a8844-0e33-4ef7-a36e-26c50aca7a88,c5eb10d3-3b76-4fe8-a39c-78ca51db9ae7,9276443e-4d13-423f-9189-a7eefaa56d42,Omeprazole,Chống trào ngược dạ dày,5308.30,586,2025-12-23
53956b6f-a63f-41bb-968a-7c2d39c266f5,94678b44-f3f1-4f1d-aafe-2df7211a7ccd,19035f17-c015-4f31-8443-97230cdd7832,Loperamide,Chống tiêu chảy,389820.56,748,2028-01-14
030dc046-ea1c-4944-9127-f85ea52d4bfc,c5eb10d3-3b76-4fe8-a39c-78ca51db9ae7,7794fbc1-1f8c-4858-abf3-2215afb62b41,Diclofenac,"Giảm đau, kháng viêm",22577.86,62,2028-03-19
3970d540-b9a1-4010-97fc-75a8350cd731,94678b44-f3f1-4f1d-aafe-2df7211a7ccd,71564964-5fac-4ff9-bfae-c7ca785408fd,Salbutamol,Giãn phế quản,157443.50,280,2027-10-21
962cfcb1-680e-4c70-8877-e5364f60c499,6a185d9e-ea89-41c2-850a-00eef95d9ebe,7129ddda-27a9-4eaf-b58f-209d7ef59a15,Metformin,Hỗ trợ điều trị tiểu đường,421185.14,128,2026-12-21
